Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
20,Isaiah Stevens,25,PG,3,0,14.3,1,2.3,0.429,0,0.3,0,1,2,0.5,0.429,1.3,1.3,1,0.7,0.3,1,3.3,1.7,0,0.7,0.7,3.3,NA
21,Drew Eubanks,28,C,42,11,13.1,2.2,3.7,0.596,0,0.2,0.143,2.2,3.5,0.617,0.599,0.8,1.4,0.561,0.9,2.1,3,0.5,0.4,0.6,0.7,1.4,5.2,NA
22,Dario Šarić,31,C,5,0,8.2,0.2,1.2,0.167,0.2,0.6,0.333,0,0.6,0,0.25,0.4,0.4,1,0.2,1,1.2,0.4,0,0,0.4,0.6,1,NA
23,Isaac Jones,25,PF,3,1,5.7,0.3,0.7,0.5,0,0.3,0,0.3,0.3,1,0.5,0.3,0.7,0.5,0.7,0,0.7,0.3,0,0,0,1.3,1,NA
NA,Team Totals,NA,,80,80,240.9,41.6,89.1,0.467,10.2,30.1,0.34,31.4,59,0.532,0.524,17.4,22.6,0.773,11.4,30.7,42.1,25.6,8,4.5,14.3,19.7,110.9,NA
1,Lauri Markkanen,28,PF,42,42,34.4,9.1,19.2,0.477,2.7,7.7,0.355,6.4,11.5,0.559,0.548,5.7,6.4,0.896,2,4.9,6.9,2.1,1,0.5,1.5,1.8,26.7,NA
2,Andersson Garcia,25,SF,5,2,33.8,1.8,5.8,0.31,0.2,2.6,0.077,1.6,3.2,0.5,0.328,1.4,1.8,0.778,3.4,5,8.4,2.8,1.6,0.8,1.4,3.2,5.2,NA
3,Keyonte George,22,PG,54,54,33.1,7.4,16.3,0.456,2.5,6.7,0.371,5,9.6,0.515,0.532,6.2,7,0.892,0.4,3.3,3.7,6.1,1.1,0.3,3.1,2.2,23.6,NA
4,Kennedy Chandler,23,PG,10,1,31.4,5,11.7,0.427,1.1,3.1,0.355,3.9,8.6,0.453,0.474,2.8,3.9,0.718,0.6,2.6,3.2,6.4,0.9,0.2,1.9,2.1,13.9,NA
5,Bez Mbeng,22,SG,13,4,31.2,2.5,5.5,0.465,0.3,1.8,0.167,2.2,3.6,0.617,0.493,0.8,1.3,0.647,1.1,2.2,3.2,3.2,2,0.4,1.3,3.3,6.2,NA
