Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
17,Trey Jemison,26,C,11,0,5.5,0.4,0.6,0.571,0,0,NA,0.4,0.6,0.571,0.571,0.1,0.1,1,0.7,0.7,1.5,0.3,0.1,0.2,0.5,0.8,0.8,
18,Dillon Jones,24,SF,6,0,4.5,0.2,1,0.167,0.2,0.7,0.25,0,0.3,0,0.25,0.7,0.7,1,0.3,0.7,1,0.7,0.3,0,0,0.8,1.2,
19,Pacôme Dadiet,20,SG,27,0,3.9,0.4,1.3,0.314,0.2,0.9,0.24,0.2,0.4,0.5,0.4,0.2,0.2,1,0.1,0.7,0.8,0.4,0.1,0,0.1,0.2,1.3,
20,Tosan Evbuomwan,24,SF,5,0,1.6,0,0.2,0,0,0,NA,0,0.2,0,0,0,0,NA,0.2,0.2,0.4,0,0,0,0,0.2,0,
NA,Team Totals,NA,,79,79,240.9,42.7,89.7,0.477,14.3,38.3,0.374,28.4,51.3,0.554,0.557,17,21.4,0.793,12.9,33.1,46,27.5,8.1,4,13.8,20,116.8,
1,James Harden,36,PG,24,24,34.2,6.3,13.2,0.481,3.1,7,0.44,3.3,6.2,0.527,0.598,4.8,5.8,0.827,0.5,4.5,5,7.9,0.8,0.5,3.2,2.1,20.5,
2,Donovan Mitchell,29,SG,69,69,33.4,9.7,20.1,0.481,3.2,8.9,0.364,6.4,11.2,0.574,0.562,5.3,6.1,0.863,0.7,3.8,4.5,5.7,1.5,0.3,2.8,2.3,27.8,AS
3,Evan Mobley,24,PF,63,61,32,7.2,13.2,0.548,1,3.3,0.301,6.3,9.9,0.629,0.585,2.8,4.6,0.606,2.4,6.5,8.9,3.7,0.8,1.7,1.9,2.5,18.2,
4,Darius Garland,26,PG,26,26,30.5,6.5,14.5,0.451,2.3,6.3,0.36,4.3,8.2,0.521,0.529,2.6,3,0.861,0.5,2,2.4,6.9,0.8,0.1,2.8,1.8,18,
5,Jarrett Allen,27,C,55,55,27.1,6.1,9.4,0.642,0,0.2,0.1,6,9.3,0.652,0.643,3.2,4.5,0.708,2.6,5.9,8.5,1.8,1,0.9,1.3,1.7,15.3,
6,Jaylon Tyson,23,SG,64,40,27,5,10,0.496,2,4.5,0.455,2.9,5.5,0.53,0.598,1.2,1.6,0.743,1.8,3.3,5.1,2.2,0.8,0.4,1.5,2.5,13.1,
7,Sam Merrill,29,SG,51,38,26.5,4.3,9.4,0.459,3.1,7.3,0.419,1.3,2.1,0.596,0.622,1.2,1.4,0.855,0.5,2.1,2.6,2.4,0.6,0.1,0.8,2.4,12.9,
8,De'Andre Hunter,28,SF,43,23,26.2,4.7,11.2,0.423,1.7,5.5,0.308,3,5.7,0.535,0.499,2.8,3.2,0.869,0.7,3.6,4.2,2.1,0.7,0.1,1.7,2.5,14,
9,Keon Ellis,26,SG,27,6,25.2,3.1,6.2,0.503,1.4,3.7,0.366,1.7,2.4,0.712,0.614,1.1,1.3,0.806,0.9,2,2.8,1.7,1.4,0.9,0.7,2.3,8.7,
10,Max Strus,29,SF,9,3,25.1,4.3,9,0.481,3.3,7.4,0.448,1,1.6,0.643,0.667,0.7,0.9,0.75,0.9,5.1,6,2.2,0.3,0,0.8,3.1,12.7,
11,Dean Wade,29,PF,57,36,22.4,2.1,4.8,0.432,1.2,3.4,0.354,0.9,1.4,0.617,0.557,0.5,0.7,0.711,0.9,3.3,4.2,1.5,0.8,0.4,0.3,1.6,5.8,
12,Dennis Schröder,32,PG,28,3,21.8,2.8,7,0.405,0.6,2.1,0.288,2.2,4.9,0.456,0.449,2.1,2.5,0.855,0.4,2,2.3,4.4,0.8,0.2,1.5,1.4,8.4,
13,Lonzo Ball,28,PG,35,3,20.8,1.5,5,0.301,1.1,4.2,0.272,0.4,0.8,0.448,0.415,0.4,0.6,0.667,0.7,3.3,4,3.9,1.3,0.3,1.5,1.3,4.6,
14,Craig Porter Jr.,25,PG,62,2,17.8,1.8,4,0.444,0.5,1.5,0.348,1.3,2.5,0.5,0.508,0.4,0.6,0.579,1.3,2.1,3.4,3.2,0.9,0.6,0.9,1.1,4.5,
15,Nae'Qwan Tomlin,25,PF,62,2,15.3,2.2,4.7,0.473,0.4,1.7,0.215,1.9,3,0.62,0.512,0.7,0.9,0.754,1.3,1.5,2.8,0.8,0.6,0.5,0.4,2,5.5,
16,Larry Nance Jr.,33,PF,33,2,12.5,1.4,3.5,0.397,0.6,1.8,0.333,0.8,1.7,0.464,0.483,0.2,0.3,0.455,0.8,1.8,2.6,0.9,0.6,0.2,0.5,1.6,3.5,
17,Thomas Bryant,28,C,60,1,12.2,2.3,4.5,0.506,0.8,2.2,0.359,1.5,2.3,0.647,0.594,0.9,1.1,0.803,1,2.4,3.4,0.6,0.3,0.4,0.5,1.3,6.2,
18,Tyrese Proctor,21,PG,48,1,10.4,1.6,4.2,0.393,0.8,2.5,0.336,0.8,1.7,0.476,0.493,0.8,0.9,0.881,0.2,0.9,1.1,1.3,0.5,0,0.6,1.2,4.9,
19,Luke Travers,24,SG,12,0,8.6,0.8,3,0.25,0.1,1.3,0.063,0.7,1.7,0.4,0.264,0.8,0.8,1,0.8,1.3,2,0.8,0.6,0.3,0.3,0.5,2.3,
20,Tristan Enaruna,24,SF,7,0,6.6,1,2.6,0.389,0.1,0.9,0.167,0.9,1.7,0.5,0.417,0,0.1,0,0.7,0.7,1.4,0.4,0.1,0,0.3,0.1,2.1,
21,Chris Livingston,22,SF,3,0,5.7,1.3,2.3,0.571,0,1,0,1.3,1.3,1,0.571,0.3,0.3,1,0,1,1,0.3,0.3,0,0,1.3,3,
22,Riley Minix,25,SF,4,0,4.3,1,1.5,0.667,0.5,0.8,0.667,0.5,0.8,0.667,0.833,0,0,NA,0.3,0.5,0.8,0.8,0,0,0.5,0.5,2.5,
23,Darius Brown II,26,SG,1,0,3,0,1,0,0,0,NA,0,1,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,
24,Olivier Sarr,26,C,2,0,2.5,0,0,NA,0,0,NA,0,0,NA,NA,0.5,1,0.5,0,0,0,0,0,0,0,1,0.5,
NA,Team Totals,NA,,79,79,240.9,43.4,90.1,0.481,14.4,40,0.36,29,50.1,0.578,0.561,18.5,23.9,0.774,11.7,32.6,44.3,28.4,8.5,5,13.9,19.7,119.6,
1,Jalen Johnson,24,SF,70,70,35.3,8.4,17.1,0.492,1.7,4.8,0.354,6.7,12.4,0.544,0.541,4.2,5.3,0.786,1.4,8.9,10.3,8,1.3,0.4,3.4,2,22.7,AS
2,Nickeil Alexander-Walker,27,SG,76,69,33.3,7,15.3,0.457,3.2,8.1,0.399,3.8,7.3,0.521,0.561,3.6,4,0.902,0.7,2.8,3.5,3.7,1.3,0.5,2.1,2.2,20.8,
3,Dyson Daniels,22,SG,74,74,33.2,5.3,10.2,0.517,0.3,1.5,0.186,5,8.7,0.575,0.531,1,1.6,0.619,2.4,4.4,6.8,5.8,2,0.4,1.8,2.1,11.8,
4,Onyeka Okongwu,25,C,72,61,31.1,5.6,11.7,0.479,2,5.3,0.377,3.6,6.5,0.562,0.564,2.1,2.8,0.758,1.9,5.8,7.7,3.2,1.1,1.1,1.8,3.3,15.3,
5,CJ McCollum,34,PG,39,23,28.8,6.9,15.2,0.452,2.3,6.5,0.349,4.6,8.7,0.53,0.527,2.6,3.4,0.752,0.9,2.1,3.1,4.1,0.9,0.6,1.9,1.7,18.6,
6,Trae Young,27,PG,10,10,28,5.6,13.5,0.415,1.8,5.9,0.305,3.8,7.6,0.5,0.481,6.3,7.3,0.863,0,1.5,1.5,8.9,1,0.1,2.6,2,19.3,
7,Kristaps Porziņģis,30,C,17,12,24.3,5.6,12.4,0.457,1.8,5.1,0.36,3.8,7.3,0.524,0.531,4,4.8,0.84,1.2,3.9,5.1,2.7,0.5,1.3,0.9,3.2,17.1,
8,Zaccharie Risacher,20,SF,65,45,22.5,3.7,8,0.457,1.4,3.9,0.373,2.2,4.1,0.535,0.547,0.9,1.4,0.636,1,2.7,3.8,1.1,0.9,0.5,0.8,2.2,9.6,
9,Vít Krejčí,25,PG,46,8,22.3,3.1,6.7,0.464,2.2,5.2,0.423,0.9,1.5,0.609,0.628,0.6,0.8,0.75,0.4,1.7,2.1,1.5,0.8,0.3,0.7,2.3,9,
10,Jonathan Kuminga,23,PF,14,1,21.4,3.9,8.1,0.478,1.1,2.8,0.41,2.7,5.3,0.514,0.549,2.4,3.4,0.688,1.3,4,5.3,2.1,0.9,0.4,1.4,1.4,11.2,
11,Luke Kennard,29,SG,46,0,20.5,2.8,5.2,0.538,1.6,3.2,0.497,1.2,2,0.604,0.692,0.7,0.8,0.914,0.4,1.7,2.2,2.1,0.7,0.1,0.7,1.2,7.9,
12,Jock Landale,30,C,23,2,19.4,3.6,6.9,0.516,1.1,2.8,0.391,2.5,4.1,0.6,0.594,0.9,1.6,0.541,1.8,2.3,4.1,1.7,0.4,0.6,0.6,2.1,9.1,
13,Corey Kispert,26,SF,36,7,18.5,3.2,7.2,0.45,1.4,4.1,0.338,1.8,3.1,0.6,0.547,1.3,1.5,0.855,0.6,1.8,2.4,1.6,0.2,0.2,0.8,1.1,9.1,
14,Mouhamed Gueye,23,PF,75,8,15.3,1.7,3.8,0.452,0.5,1.7,0.304,1.2,2.1,0.57,0.519,0.5,0.8,0.645,1.1,2.4,3.6,0.9,0.8,0.5,0.4,1.6,4.5,
15,Gabe Vincent,29,PG,22,0,13.2,1.2,3.6,0.338,0.8,2.9,0.266,0.5,0.7,0.625,0.444,0.4,0.4,1,0.4,0.8,1.1,1.7,0.6,0.1,0.6,1,3.6,
16,Asa Newell,20,PF,42,1,10.8,2,3.7,0.539,0.7,1.7,0.394,1.3,2,0.663,0.63,0.3,0.6,0.56,0.9,1,2,0.5,0.4,0.3,0.5,1.5,5,
17,Christian Koloko,25,C,13,2,10.4,1.2,2.6,0.471,0.1,0.5,0.167,1.2,2.2,0.536,0.485,0.5,0.5,1,0.7,1.5,2.2,0.5,0.3,0.7,0.5,1.8,3.1,
18,Keaton Wallace,26,PG,51,2,9.7,1.3,3.1,0.42,0.7,1.8,0.398,0.6,1.3,0.453,0.538,0.2,0.3,0.643,0.1,1,1,1.7,0.5,0.1,0.5,0.9,3.5,
19,Buddy Hield,33,SG,6,0,5,0.2,1.5,0.111,0,1,0,0.2,0.5,0.333,0.111,0.5,0.5,1,0.2,0.7,0.8,0.3,0.2,0,0.8,0.2,0.8,
20,Caleb Houstan,23,SF,18,0,4.2,0.8,1.4,0.538,0.6,1.2,0.524,0.2,0.3,0.6,0.75,0.2,0.2,1,0.3,0.3,0.6,0.2,0.1,0.1,0.2,0.6,2.3,
21,RayJ Dennis,24,PG,2,0,4,0,0.5,0,0,0.5,0,0,0,NA,0,0,0,NA,0,0,0,2,0.5,0,0,0.5,0,
22,Tony Bradley,28,C,1,0,4,0,2,0,0,0,NA,0,2,0,0,0,0,NA,1,1,2,0,0,0,1,1,0,
23,N'Faly Dante,24,C,4,0,3.8,0.3,1,0.25,0,0,NA,0.3,1,0.25,0.25,0.3,0.3,1,0.8,1,1.8,0,0.5,0,0.3,0.3,0.8,
24,Jacob Toppin,25,SF,5,0,3.4,0.8,1.2,0.667,0,0,NA,0.8,1.2,0.667,0.667,0,0,NA,0,0.2,0.2,0.2,0,0.2,0,0.2,1.6,
NA,Team Totals,NA,,79,79,240.9,43.5,91.9,0.474,14.6,39.4,0.371,28.9,52.4,0.551,0.554,16.7,21.6,0.776,10.9,32.6,43.5,30.3,9.4,4.7,14.2,19.6,118.4,
1,Brandon Ingram,28,SF,74,74,33.8,7.9,16.8,0.473,1.8,4.6,0.379,6.2,12.1,0.508,0.525,3.7,4.5,0.823,0.8,4.7,5.5,3.6,0.8,0.7,2.5,2,21.3,AS
2,Scottie Barnes,24,PF,77,77,33.6,7.2,14.2,0.504,0.9,2.9,0.299,6.3,11.3,0.556,0.534,3,3.7,0.813,1.9,5.6,7.5,5.9,1.5,1.5,2.7,2.7,18.2,AS
3,Immanuel Quickley,26,PG,68,68,32.2,5.8,13.1,0.444,2.6,6.9,0.375,3.2,6.2,0.521,0.543,2.5,3,0.821,0.5,3.5,4.1,6,1.3,0.1,1.5,2,16.7,
4,RJ Barrett,25,SF,55,55,30.2,7,14.3,0.491,1.7,5,0.341,5.3,9.3,0.571,0.55,3.4,4.7,0.712,1,4.3,5.3,3.3,0.7,0.3,1.8,2.5,19.1,
5,Jakob Poeltl,30,C,43,41,25.4,4.8,6.9,0.695,0,0,NA,4.8,6.9,0.695,0.695,1.3,2.2,0.624,2.6,4.7,7.3,2.1,0.9,0.7,1.2,3.2,11,
6,Jamal Shead,23,PG,79,11,22.6,2.2,6.1,0.365,1,3.2,0.319,1.2,2.9,0.416,0.448,1.2,1.5,0.784,0.3,1.5,1.8,5.5,0.9,0.2,1.4,2,6.7,
7,Collin Murray-Boyles,20,PF,55,22,22,3.5,6.1,0.57,0.3,0.9,0.34,3.2,5.2,0.611,0.596,1.2,1.9,0.641,2.4,2.6,5,1.9,0.9,0.9,1.1,2.5,8.5,
8,Sandro Mamukelashvili,26,C,77,13,21.9,4.1,7.9,0.522,1.4,3.7,0.387,2.7,4.2,0.639,0.612,1.5,2,0.75,1.4,3.6,4.9,1.9,0.8,0.5,0.8,1.9,11.2,
9,Ja'Kobe Walter,21,SG,69,18,20.2,2.5,5.6,0.442,1.5,3.7,0.401,1,1.9,0.519,0.573,1,1.2,0.798,0.8,1.8,2.6,1.2,1,0.2,0.5,2.3,7.4,
10,Ochai Agbaji,25,SG,42,13,15.5,1.7,4,0.424,0.3,1.5,0.185,1.4,2.5,0.571,0.459,0.6,0.7,0.862,0.8,1.5,2.3,0.7,0.4,0.3,0.5,1.8,4.3,
11,Gradey Dick,22,SG,73,1,14.3,2.2,5.2,0.418,0.8,2.5,0.297,1.4,2.6,0.534,0.491,1,1.2,0.874,0.6,1.4,2,0.7,0.6,0.1,0.6,1.3,6.1,
12,A.J. Lawson,25,SG,21,0,9,1.4,3.1,0.446,0.8,1.7,0.444,0.6,1.4,0.448,0.569,0.6,0.7,0.857,0.3,1.4,1.7,0.3,0.5,0.2,0.3,1.2,4.1,
13,Jamison Battle,24,SF,58,2,8.7,1.2,2.4,0.511,0.6,1.4,0.417,0.6,1,0.649,0.635,0.1,0.2,0.667,0.3,1.2,1.5,0.4,0.1,0.1,0.3,0.7,3.2,
14,Markelle Fultz,27,PG,5,0,7.2,0.4,2.2,0.182,0,0,NA,0.4,2.2,0.182,0.182,0,0,NA,0,0.2,0.2,1.6,0.4,0,0.8,0.4,0.8,
15,Chucky Hepburn,22,PG,2,0,6.5,0,3,0,0,2.5,0,0,0.5,0,0,0,0,NA,0,0.5,0.5,1,0.5,0,0.5,1,0,
16,Alijah Martin,24,SG,21,0,6.2,0.7,2.1,0.341,0.2,1,0.2,0.5,1.1,0.458,0.386,0.7,0.9,0.778,0.4,0.6,1,0.5,0.4,0.2,0.2,0.5,2.3,
17,Jonathan Mogbo,24,PF,37,0,6,0.6,1.1,0.561,0,0,0,0.6,1.1,0.575,0.561,0.2,0.3,0.583,0.5,1.2,1.7,0.6,0.3,0.2,0.3,0.6,1.4,
18,Trayce Jackson-Davis,25,C,16,0,5,0.6,1.2,0.474,0,0,NA,0.6,1.2,0.474,0.474,0.6,1.4,0.409,1.1,0.7,1.8,0.4,0.3,0.3,0.3,0.3,1.7,
19,Garrett Temple,39,SG,21,0,3.3,0.1,0.7,0.214,0.1,0.5,0.182,0,0.1,0.333,0.286,0.3,0.4,0.667,0,0.3,0.4,0.4,0.1,0.1,0.3,0.3,0.7,
20,Mo Bamba,27,C,2,0,3,0,1,0,0,0,NA,0,1,0,0,0,0,NA,0.5,0.5,1,0,0,0.5,0,1,0,
NA,Team Totals,NA,,79,79,241.3,42.6,88.7,0.48,11.4,32.3,0.352,31.2,56.5,0.553,0.544,17.9,23.3,0.77,11.1,31.2,42.2,29.5,8.8,4.9,13.8,20.9,114.4,
1,Tyrese Maxey,25,PG,67,67,38.2,9.9,21.5,0.463,3.2,8.6,0.369,6.8,12.9,0.524,0.536,5.4,6,0.891,0.3,3.8,4.1,6.7,1.9,0.8,2.5,2.2,28.4,AS
2,VJ Edgecombe,20,SG,72,72,34.9,6,13.7,0.438,2,5.6,0.357,4,8.1,0.495,0.512,2,2.4,0.827,1.6,3.9,5.6,4,1.4,0.5,1.8,2.9,16,
3,Kelly Oubre Jr.,30,SF,47,38,31.8,5,10.9,0.463,1.8,4.9,0.364,3.3,6,0.543,0.544,2.3,3,0.761,1,4,5,1.6,1.2,0.5,1.4,2.5,14.1,
4,Joel Embiid,31,C,38,38,31.6,9,18.3,0.489,1.4,4.2,0.333,7.6,14.2,0.535,0.527,7.5,8.8,0.854,2,5.7,7.7,3.9,0.6,1.2,2.9,2.2,26.9,
5,Paul George,35,PF,34,34,31.1,6.2,14.1,0.438,2.8,7,0.405,3.4,7.1,0.471,0.539,2.5,3.1,0.827,0.6,4.8,5.4,3.8,1.8,0.5,1.7,2.4,17.7,
6,Quentin Grimes,25,SG,72,19,29.7,4.5,10,0.451,1.7,5.1,0.331,2.8,4.9,0.577,0.535,2.6,3.2,0.837,0.6,3.1,3.7,3.3,0.9,0.4,1.8,2.1,13.4,
7,Dominick Barlow,22,PF,68,59,23.9,3.1,5.7,0.545,0.3,1.2,0.259,2.8,4.5,0.621,0.572,1.3,1.9,0.717,1.9,2.9,4.8,1.3,0.9,0.7,0.8,2.1,7.9,
8,Andre Drummond,32,C,60,25,19.2,2.5,5.3,0.47,0.5,1.4,0.349,2,3.8,0.515,0.517,0.8,1.3,0.641,3.1,5.1,8.2,1.2,0.6,0.8,1,2,6.3,
9,Adem Bona,22,C,68,15,17.4,1.9,3.1,0.601,0,0.1,0.333,1.9,3,0.609,0.606,1.1,1.6,0.706,1.8,2.5,4.4,0.5,0.4,1.2,0.8,2.2,4.9,
10,Cameron Payne,31,PG,22,1,17,2.5,6.8,0.376,1.5,4.4,0.33,1.1,2.4,0.462,0.483,0.9,1,0.864,0.1,1.9,2,2.6,1.1,0.3,0.5,1.4,7.4,
11,Jared McCain,21,SG,37,1,16.8,2.4,6.2,0.385,1.2,3.2,0.378,1.2,3,0.393,0.483,0.6,0.7,0.88,0.2,1.9,2,1.7,0.6,0.1,0.8,1.2,6.6,
12,Trendon Watford,25,PF,52,7,16.5,2.6,5.1,0.513,0.2,1,0.2,2.4,4.2,0.585,0.532,1.2,1.5,0.779,0.7,2.6,3.4,2.5,0.3,0.4,1.2,2,6.6,
13,Justin Edwards,22,SF,61,12,15.2,2.2,4.9,0.45,1,2.8,0.365,1.2,2.1,0.563,0.554,0.5,0.6,0.846,0.4,1.1,1.5,1.3,0.8,0.2,0.6,1.5,6,
14,MarJon Beauchamp,25,SF,13,1,14.9,2.5,5.7,0.432,1.2,3.5,0.348,1.2,2.2,0.571,0.541,0.9,1.3,0.706,0.5,1.9,2.4,1.2,0.7,0.3,1,1,7.1,
15,Dalen Terry,23,SG,13,0,13,1.7,4,0.423,0.4,1.5,0.25,1.3,2.5,0.531,0.471,0.5,0.9,0.583,0.5,1.1,1.5,1.8,0.5,0.3,0.4,1.2,4.3,
16,Eric Gordon,37,SG,6,0,12.3,2,3.5,0.571,1.3,2.3,0.571,0.7,1.2,0.571,0.762,0.2,0.3,0.5,0.2,0.2,0.3,0.5,0.7,0.2,0.5,0.5,5.5,
17,Jabari Walker,23,PF,62,6,12.1,1.5,3.4,0.448,0.5,1.5,0.33,1,1.9,0.543,0.521,0.8,1,0.75,1.1,1.9,3,0.5,0.4,0.2,0.4,1.6,4.3,
18,Tyrese Martin,26,SG,8,0,9.9,1.1,2.8,0.409,0.3,1.6,0.154,0.9,1.1,0.778,0.455,0,0.3,0,0.3,1,1.3,1.1,0.4,0.3,0.9,0.4,2.5,
19,Kyle Lowry,39,PG,13,0,8.7,0.3,1.5,0.2,0.3,1.5,0.2,0,0,NA,0.3,0.4,0.5,0.833,0,0.7,0.7,0.8,0.2,0.2,0.3,0.6,1.3,
20,Johni Broome,23,C,11,0,5,0.4,2.2,0.167,0,0.5,0,0.4,1.7,0.211,0.167,0.2,0.5,0.333,0.6,0.8,1.5,0.4,0.3,0.2,0.3,0.6,0.9,
21,Charles Bassey,25,C,1,0,5,1,1,1,0,0,NA,1,1,1,1,0,0,NA,0,0,0,0,0,1,0,0,2,
22,Hunter Sallis,22,SG,7,0,3.7,0.4,0.7,0.6,0,0,NA,0.4,0.7,0.6,0.6,0.1,0.3,0.5,0,0.1,0.1,0.6,0,0.1,0.7,0.3,1,
23,Patrick Baldwin Jr.,23,SF,1,0,2,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,1,1,0,0,0,0,0,0,
NA,Team Totals,NA,,79,79,242.5,41.7,90.2,0.463,12.4,35.4,0.35,29.3,54.8,0.535,0.531,20.3,25,0.811,11.8,31.6,43.4,24.7,9,5.7,13.7,20.4,116.1,
1,Paolo Banchero,23,PF,69,69,34.9,7.4,16.1,0.459,1.2,3.8,0.309,6.2,12.2,0.506,0.496,6.4,8.2,0.778,1.2,7.2,8.4,5.1,0.7,0.6,3,2,22.3,NA
2,Desmond Bane,27,SG,79,79,34.1,7.2,14.9,0.485,2.1,5.3,0.394,5.2,9.6,0.535,0.555,3.9,4.3,0.909,1.2,3,4.2,4.1,1,0.5,2,3.1,20.5,NA
3,Franz Wagner,24,SF,31,29,30.6,7.2,14.9,0.479,1.4,4,0.336,5.8,10.9,0.533,0.525,4.9,5.9,0.825,1.3,4.2,5.5,3.4,1,0.3,1.7,2.2,20.5,NA
4,Anthony Black,22,PG,61,40,30.4,5.5,12.2,0.45,1.6,4.7,0.338,3.9,7.5,0.52,0.515,2.7,3.6,0.73,0.7,3.1,3.8,3.8,1.4,0.7,2.1,2.6,15.3,NA
5,Wendell Carter Jr.,26,C,75,75,29.5,4.3,8.3,0.516,1,3,0.324,3.3,5.3,0.623,0.574,2.6,3.2,0.8,2.1,5.3,7.4,2,0.8,0.6,1.3,3.5,12.1,NA
6,Jalen Suggs,24,PG,54,53,27.6,4.9,11.4,0.433,2,6.1,0.326,2.9,5.3,0.556,0.52,1.9,2.2,0.855,0.7,3.3,3.9,5.6,1.9,0.7,2.7,2.6,13.7,NA
7,Tristan Da Silva,24,SF,74,34,24.8,3.6,8.1,0.449,1.6,4.2,0.379,2.1,3.9,0.524,0.547,1.1,1.3,0.882,0.8,2.9,3.7,1.5,0.9,0.3,0.9,1.6,10,NA
8,Jevon Carter,30,PG,27,1,20.8,2.7,7.1,0.385,1.5,4.8,0.315,1.2,2.3,0.532,0.492,0.2,0.3,0.556,0.3,1.9,2.2,2.4,0.9,0.3,0.9,1.4,7.2,NA
9,Tyus Jones,29,PG,48,8,15.7,1.1,3.3,0.342,0.6,2.1,0.294,0.5,1.2,0.429,0.437,0.1,0.1,1,0.2,0.9,1.1,2.4,0.7,0.1,0.3,0.5,3,NA
10,Goga Bitadze,26,C,61,3,15,2.3,3.4,0.673,0,0.2,0.182,2.2,3.2,0.701,0.678,1,1.5,0.7,2,2.7,4.7,1.3,0.6,1,0.7,2.1,5.6,NA
11,Noah Penda,21,SF,57,2,13,1.4,3.5,0.41,0.5,1.6,0.33,0.9,1.9,0.477,0.485,0.6,0.8,0.688,1.2,2.1,3.3,1.2,0.5,0.3,0.7,1.2,4,NA
12,Jett Howard,22,SF,55,0,12.6,1.9,4.6,0.418,1,2.6,0.372,0.9,1.9,0.481,0.526,0.7,0.7,0.949,0.4,1.2,1.6,0.8,0.2,0.2,0.3,1.2,5.5,NA
13,Moritz Wagner,28,C,35,0,12,2.3,5.4,0.429,0.6,1.9,0.324,1.7,3.5,0.488,0.487,1.7,2.1,0.819,0.7,2.5,3.2,0.7,0.4,0.1,0.5,1.6,6.9,NA
14,Jamal Cain,26,SF,37,1,11.6,1.7,3.6,0.47,0.7,1.8,0.385,1,1.8,0.552,0.564,1,1.1,0.857,0.6,1.2,1.8,0.7,0.3,0.1,0.5,1.3,5,NA
15,Jase Richardson,20,SG,52,0,11.1,1.6,3.5,0.467,0.5,1.5,0.359,1.1,2,0.548,0.544,0.6,0.9,0.717,0.4,0.8,1.2,1.1,0.3,0,0.5,1,4.4,NA
16,Jonathan Isaac,28,PF,52,0,10,0.9,2.1,0.422,0.1,0.7,0.184,0.8,1.4,0.549,0.454,0.7,1.1,0.603,0.8,1.7,2.5,0.4,0.4,0.6,0.3,0.8,2.6,NA
17,Alex Morales,28,PG,2,0,7,0.5,1.5,0.333,0,0,NA,0.5,1.5,0.333,0.333,0,0,NA,0.5,1,1.5,2,0,0,1,2,1,NA
18,Orlando Robinson,25,C,4,1,6.3,0.8,1.3,0.6,0.3,0.5,0.5,0.5,0.8,0.667,0.7,0,0,NA,0.5,0.5,1,0.8,0.3,0,0,0.8,1.8,NA
19,Colin Castleton,25,C,2,0,6,0.5,1.5,0.333,0,0,NA,0.5,1.5,0.333,0.333,0,0,NA,0,2.5,2.5,0.5,0,0,1,0.5,1,NA
NA,Team Totals,NA,,79,79,241.9,40.8,88.2,0.463,11.7,34.1,0.343,29.2,54.1,0.539,0.53,22.1,27.5,0.803,10.8,32.4,43.2,26.4,8.5,4.7,14.1,21,115.5,NA
1,Kon Knueppel,20,SF,79,78,31.5,6.4,13.4,0.478,3.4,7.9,0.429,3,5.5,0.548,0.605,2.5,2.8,0.862,1.2,4.1,5.3,3.4,0.7,0.2,2,2.1,18.7,NA
2,Miles Bridges,27,PF,75,75,31.2,6.3,13.7,0.461,2,5.9,0.335,4.3,7.8,0.554,0.532,2.7,3.3,0.826,1,4.9,5.9,3.2,0.6,0.4,1.4,1.7,17.3,NA
3,Brandon Miller,23,SF,63,63,30.3,7,16.1,0.435,3.2,8.2,0.385,3.8,7.9,0.487,0.533,3,3.4,0.893,1.1,3.9,5,3.4,1,0.7,2.5,2.7,20.2,NA
4,LaMelo Ball,24,PG,70,67,27.9,7,17.2,0.408,3.7,10.1,0.369,3.3,7.1,0.465,0.517,2.2,2.5,0.895,0.9,3.9,4.8,7.1,1.2,0.2,2.8,2.7,20,NA
5,Moussa Diabaté,24,C,71,45,26,3.2,5,0.629,0,0,0.5,3.1,5,0.63,0.631,1.6,2.4,0.663,3.8,5,8.7,1.9,0.8,1,1,2.4,7.9,NA
6,Sion James,23,SG,80,19,22.6,1.7,4.5,0.372,1,2.9,0.355,0.7,1.7,0.402,0.485,1,1.2,0.837,0.6,2.9,3.5,2,0.6,0.3,0.8,1.8,5.4,NA
7,Collin Sexton,27,SG,42,12,22.3,4.8,9.9,0.488,1.4,3.5,0.393,3.5,6.4,0.539,0.557,3.2,3.7,0.877,0.4,1.5,1.9,3.7,0.9,0.2,2.1,1.8,14.2,NA
8,Ryan Kalkbrenner,24,C,67,31,21.4,3.2,4.3,0.748,0,0.1,0,3.2,4.2,0.762,0.748,1.2,1.7,0.708,2.4,3.1,5.5,0.8,0.5,1.5,0.9,1.6,7.6,NA
9,Coby White,25,SG,19,0,19.7,5.1,11.2,0.455,2,5.3,0.376,3.1,5.9,0.527,0.545,3.5,4.1,0.857,0.5,2.6,3.1,3.2,0.3,0.2,1.9,1.9,15.7,NA
10,Grant Williams,27,PF,34,3,19.6,2.2,5.1,0.425,1.5,3.8,0.391,0.7,1.4,0.522,0.569,1.3,1.6,0.815,1.2,2.7,3.9,1.6,0.4,0.5,0.9,1.6,7.1,NA
11,Tidjane Salaün,20,PF,36,0,15.9,2.2,4.4,0.506,1,2.3,0.434,1.2,2.1,0.587,0.62,0.7,1.1,0.65,0.7,3.4,4.1,0.8,0.4,0.2,0.7,1.5,6.2,NA
